HS부호,한글품목명,영문품목명,성질통합분류코드,성질통합분류코드명
2921423000,농약원제(農藥原劑)(?농약관리법?에 따라 등록된 것으로 한정한다),Material for manufacturing agricultural chemicals (registered material under the Agricultural Chemicals Management Act),25020501,농약
0029214290,기타,Other,,
2921429020,아닐린의 니트로할로겐화 유도체,Nitrohalogenated derivatives of aniline,25030201,유기화합물
2921429090,기타,Other,25030201,유기화합물
2921434000,농약원제(農藥原劑)(?농약관리법?에 따라 등록된 것으로 한정한다),Material for manufacturing agricultural chemicals (registered material under the Agricultural Chemicals Management Act),25020501,농약
2921435000,파라-톨루이딘-메타-술폰산과 그 염,Para-toluidine-m-sulfonic acid and its salts,25030201,유기화합물
2921436000,2-클로로-파라-톨루이딘-5-술폰산과 그 염,2-chloro-para-toluidine-5-sulfonic acid and its salts,25030201,유기화합물
2921437000,3-아미노-6-클로로톨루엔-4-술폰산과 그 염,3-amino-6-chlorotoluene-4-sulfonic acid and its salts,25030201,유기화합물
0029214390,기타,Other,,
2921439010,톨루이딘,Toluidines,25030201,유기화합물
2921439090,기타,Other,25030201,유기화합물
2921441000,디페닐아민,Diphenylamine,25030201,유기화합물
2921449000,기타,Other,25030201,유기화합물
2921451000,1-나프틸아민-4-술폰산과 그 염,1-naphthylamine-4-sulfonic acid and its salts,25030201,유기화합물
0029214590,기타,Other,,
2921459010,1-나프틸아민(알파-나프틸아민)과 그 염,1-Naphthylamine (alpha-naphthylamine) and its salts,25030201,유기화합물
2921459020,2-나프틸아민(베타-나프틸아민)과 그 염,2-Naphthylamine (beta-naphthylamine) and its salts,25030201,유기화합물
2921459030,"2-나프틸아민-3,6,8-트리술폰산과 그 염","2-naphthylamine-3,6,8-trisulfonic acid and its salts",25030201,유기화합물
2921459090,기타,Other,25030201,유기화합물
2921460000,"암페타민(INN)ㆍ벤즈페타민(INN)ㆍ덱스암페타민(INN)ㆍ에틸암페타민(INN)ㆍ펜캄파민(INN)ㆍ레페타민(INN)ㆍ레브암페타민(INN)ㆍ메페노렉스(INN)ㆍ펜터민(INN), 이들의 염","Amfetamine (INN), benzfetamine (INN), dexamfetamine (INN), etilamfetamine (INN), fencamfamin (INN), lefetamine (lNN), levamfetamine (INN), mefenorex (INN) and phentermine (INN); salts thereof",25030201,유기화합물
2921491000,농약원제(農藥原劑)(?농약관리법?에 따라 등록된 것으로 한정한다),Material for manufacturing agricultural chemicals (registered material under the Agricultural Chemicals Management Act),25020501,농약
2921499000,기타,Other,25030201,유기화합물
2921511000,엔-페닐-엔-이소프로필 파라-페닐렌디아민,N-phenyl-N'-isopropyl-para-phenylenediamine,25030201,유기화합물
2921512000,"엔-(1,3-디메틸 부틸)-엔-페닐-파라-페닐렌디아민","N-(1,3-Dimethyl butyl)-N'-phenyl-para-phenylenediamine",25030201,유기화합물
0029215190,기타,Other,,
